57.205,-2.205
51.144,-0.229
56.852,-2.266
53.869,-1.319
50.815,-0.922
51.405,-3.441
51.479,-0.451
57.011,-3.397
52.457,1.162
51.911,-2.586
51.311,-0.476
50.218,-5.328
52.789,-4.741
53.175,-0.523
56.326,-3.729
54.926,-3.950
55.160,-6.949
52.124,0.957
53.360,-2.382
57.206,-3.828
58.213,-6.319
52.795,-2.665
53.175,-2.986
51.304,-0.092
52.456,-1.928
50.502,-4.667
53.006,-1.251
51.288,0.448
54.803,-4.008
58.230,-3.922
57.725,-4.895
54.330,-7.595
57.645,-3.563
51.006,-2.643
55.421,-1.601
56.867,-4.708
58.953,-2.901
56.450,-5.440
52.836,-1.251
50.769,-3.904
58.288,-4.442
51.503,-1.992
50.891,0.317
51.482,-0.294
52.014,-0.596
55.907,-4.532
57.819,-3.967
51.347,1.335
52.359,-1.331
60.139,-1.185
51.861,-1.693
50.779,-1.836
50.737,-3.406
51.807,-0.360
55.477,-4.565
55.515,-4.585
53.875,-0.442
55.312,-3.207
52.402,-0.237
55.928,-3.344
55.709,-2.385
52.757,-3.465
52.480,-1.691
54.502,-2.685
56.377,-2.862
52.227,-0.465
52.140,-4.571
54.664,-6.225
53.253,-4.536
57.613,-5.306
51.239,-0.945
51.087,-3.609
52.243,-2.886
52.873,0.139
56.500,-6.881
54.768,-1.586
52.612,-0.468
55.181,-6.154
52.424,-1.536
